,product,uf,volume,year_month,unit,created_at
91,ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO NORTE,9349.0,2013-01-01,m3,2021-11-19 10:40:49
92,ÓLEO DIESEL MARÍTIMO (m3),PARAÍBA,141.0,2013-01-01,m3,2021-11-19 10:40:49
93,ÓLEO DIESEL MARÍTIMO (m3),PERNAMBUCO,1068.0,2013-01-01,m3,2021-11-19 10:40:49
94,ÓLEO DIESEL MARÍTIMO (m3),ALAGOAS,83.0,2013-01-01,m3,2021-11-19 10:40:49
95,ÓLEO DIESEL MARÍTIMO (m3),SERGIPE,284.0,2013-01-01,m3,2021-11-19 10:40:49
96,ÓLEO DIESEL MARÍTIMO (m3),BAHIA,2197.058,2013-01-01,m3,2021-11-19 10:40:49
97,ÓLEO DIESEL MARÍTIMO (m3),MINAS GERAIS,0.0,2013-01-01,m3,2021-11-19 10:40:49
98,ÓLEO DIESEL MARÍTIMO (m3),ESPÍRITO SANTO,4046.941,2013-01-01,m3,2021-11-19 10:40:49
99,ÓLEO DIESEL MARÍTIMO (m3),RIO DE JANEIRO,28093.381,2013-01-01,m3,2021-11-19 10:40:49
100,ÓLEO DIESEL MARÍTIMO (m3),SÃO PAULO,2842.04,2013-01-01,m3,2021-11-19 10:40:49
101,ÓLEO DIESEL MARÍTIMO (m3),PARANÁ,603.9,2013-01-01,m3,2021-11-19 10:40:49
102,ÓLEO DIESEL MARÍTIMO (m3),SANTA CATARINA,4834.0,2013-01-01,m3,2021-11-19 10:40:49
103,ÓLEO DIESEL MARÍTIMO (m3),RIO GRANDE DO SUL,1818.0,2013-01-01,m3,2021-11-19 10:40:49
104,ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO DO SUL,810.0,2013-01-01,m3,2021-11-19 10:40:49
105,ÓLEO DIESEL MARÍTIMO (m3),MATO GROSSO,0.0,2013-01-01,m3,2021-11-19 10:40:49
106,ÓLEO DIESEL MARÍTIMO (m3),GOIÁS,0.0,2013-01-01,m3,2021-11-19 10:40:49
107,ÓLEO DIESEL MARÍTIMO (m3),DISTRITO FEDERAL,0.0,2013-01-01,m3,2021-11-19 10:40:49
108,ÓLEO DIESEL (OUTROS ) (m3),RONDÔNIA,10.0,2013-01-01,m3,2021-11-19 10:40:49
109,ÓLEO DIESEL (OUTROS ) (m3),ACRE,0.0,2013-01-01,m3,2021-11-19 10:40:49
110,ÓLEO DIESEL (OUTROS ) (m3),AMAZONAS,0.0,2013-01-01,m3,2021-11-19 10:40:49
111,ÓLEO DIESEL (OUTROS ) (m3),RORAIMA,0.0,2013-01-01,m3,2021-11-19 10:40:49
112,ÓLEO DIESEL (OUTROS ) (m3),PARÁ,0.0,2013-01-01,m3,2021-11-19 10:40:49
113,ÓLEO DIESEL (OUTROS ) (m3),AMAPÁ,0.0,2013-01-01,m3,2021-11-19 10:40:49
114,ÓLEO DIESEL (OUTROS ) (m3),TOCANTINS,0.0,2013-01-01,m3,2021-11-19 10:40:49
